recommendation_id,stream,title,resource_type,platform,url,difficulty_level,duration,description
1,Computer Science,Python Programming Fundamentals,Course,Coursera,https://coursera.org/python-basics,Beginner,6 weeks,Learn Python programming from scratch with hands-on exercises
2,Computer Science,Data Structures and Algorithms,Course,edX,https://edx.org/data-structures,Intermediate,8 weeks,Master essential data structures and algorithms for programming interviews
3,Computer Science,Web Development Bootcamp,Course,Udemy,https://udemy.com/web-dev,Intermediate,12 weeks,Complete web development course covering HTML CSS JavaScript and frameworks
4,Computer Science,Software Engineering Principles,Book,N/A,N/A,Advanced,Self-paced,Comprehensive guide to software engineering best practices and methodologies
5,Computer Science,JavaScript Mastery,Video Tutorial,YouTube,https://youtube.com/js-mastery,Intermediate,4 weeks,Advanced JavaScript concepts and modern development practices
6,Data Science,Introduction to Machine Learning,Course,Coursera,https://coursera.org/ml-intro,Intermediate,8 weeks,Learn machine learning fundamentals with Python and scikit-learn
7,Data Science,Python for Data Analysis,Book,N/A,N/A,Intermediate,Self-paced,Master pandas numpy and matplotlib for data manipulation and visualization
8,Data Science,Deep Learning Specialization,Course,Coursera,https://coursera.org/deep-learning,Advanced,16 weeks,Comprehensive deep learning program covering neural networks and AI
9,Data Science,SQL for Data Science,Course,edX,https://edx.org/sql-data,Beginner,4 weeks,Learn SQL for data querying and database management
10,Data Science,Kaggle Learn Micro-Courses,Interactive,Kaggle,https://kaggle.com/learn,Beginner,2 weeks,Short practical courses on data science topics with hands-on exercises
11,Mathematics,Linear Algebra Foundations,Course,MIT OpenCourseWare,https://ocw.mit.edu/linear-algebra,Intermediate,10 weeks,Comprehensive linear algebra course from MIT
12,Mathematics,Calculus Complete Course,Video Tutorial,Khan Academy,https://khanacademy.org/calculus,Intermediate,12 weeks,Complete calculus curriculum with interactive exercises
13,Mathematics,Statistics and Probability,Course,edX,https://edx.org/statistics,Beginner,6 weeks,Introduction to statistical concepts and probability theory
14,Mathematics,Abstract Algebra,Book,N/A,N/A,Advanced,Self-paced,Advanced mathematical concepts in abstract algebra and group theory
15,Mathematics,Mathematical Thinking,Course,Coursera,https://coursera.org/math-thinking,Intermediate,6 weeks,Develop mathematical reasoning and problem-solving skills
16,Physics,Classical Mechanics,Course,MIT OpenCourseWare,https://ocw.mit.edu/classical-mechanics,Advanced,14 weeks,Advanced physics course on classical mechanics and dynamics
17,Physics,Quantum Physics Fundamentals,Course,edX,https://edx.org/quantum-physics,Advanced,10 weeks,Introduction to quantum mechanics and atomic physics
